[22:57:31] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpRtp.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:32] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpDlp.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:32] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpRtp.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:39] [Yara DETECT] File: C:\Riot Games\League of Legends\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:42] [Yara DETECT] File: C:\Users\ybi65\.antigravity\extensions\ms-python.debugpy-2025.18.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_attach_to_process\inject_dll_amd64.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:42] [Yara DETECT] File: C:\Users\ybi65\.antigravity\extensions\ms-python.debugpy-2025.18.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_attach_to_process\inject_dll_x86.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:53] [Yara DETECT] File: C:\Users\ybi65\.vscode\extensions\ms-python.debugpy-2025.18.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_attach_to_process\inject_dll_amd64.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:53] [Yara DETECT] File: C:\Users\ybi65\.vscode\extensions\ms-python.debugpy-2025.18.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_attach_to_process\inject_dll_x86.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:58:42] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\Antigravity\resources\app\out\vs\workbench\workbench.desktop.main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:58:45] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\cursor\resources\app\extensions\cursor-agent-exec\dist\main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:58:47] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\cursor\resources\app\extensions\cursor-retrieval\dist\main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:58:59] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\cursor\resources\app\out\vs\workbench\api\node\extensionHostProcess.js | Rules Matched: Suspicious_PowerShell_Loader
[22:59:18] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\Microsoft VS Code\07ff9d6178\resources\app\out\vs\sessions\sessions.desktop.main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:59:19] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\Microsoft VS Code\07ff9d6178\resources\app\out\vs\workbench\workbench.desktop.main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:59:39] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\Microsoft VS Code\cfbea10c5f\resources\app\out\vs\sessions\sessions.desktop.main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:59:39] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\Microsoft VS Code\cfbea10c5f\resources\app\out\vs\workbench\workbench.desktop.main.js | Rules Matched: Suspicious_PowerShell_Loader
[22:59:58] [Yara DETECT] File: C:\Users\ybi65\AppData\Local\Programs\Python\Python312\Lib\site-packages\PySide6\QtWebEngineProcess.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:00:07] [Yara DETECT] File: C:\Users\ybi65\AppData\Roaming\Antigravity\User\History\3ae9537f\Y5af.txt | Rules Matched: Mock_Hacker_Testing
[23:00:17] [Yara DETECT] File: C:\Users\ybi65\OneDrive\Desktop\testing_malware.txt.txt | Rules Matched: Mock_Hacker_Testing
[23:00:17] [Yara DETECT] File: C:\Users\ybi65\OneDrive\Desktop\capstone\ps_test.txt | Rules Matched: Suspicious_PowerShell_Loader
[23:00:17] [Yara DETECT] File: C:\Users\ybi65\OneDrive\Desktop\capstone\scanner_test\loader.ps1 | Rules Matched: Suspicious_PowerShell_Loader
[23:00:17] [Yara DETECT] File: C:\Users\ybi65\OneDrive\Desktop\capstone\scanner_test\note.txt | Rules Matched: Generic_Ransomware_Note
[23:00:17] [Yara DETECT] File: C:\Windows\assembly\GAC_MSIL\System.Management.Automation\1.0.0.0__31bf3856ad364e35\System.Management.Automation.dll | Rules Matched: Suspicious_PowerShell_Loader
